datetime,open,high,low,close,volume
03-11-2020,6.386375,6.415,6.06425,6.16175,502067720
03-12-2020,5.6365,5.902975,5.395,5.40775,816541400
03-13-2020,5.7625,6.0255,5.49025,6.021,634837720
03-16-2020,5.31025,5.6525,4.85,4.91,726972120
03-17-2020,5.02275,5.5215,4.775,5.43175,833631960
03-18-2020,5.002375,5.2485,4.5170175,5.0705,874266280
03-19-2020,5.049,5.41825,4.83475,5.32425,765513880
03-20-2020,5.475,5.758,5.12825,5.14375,804634160
03-23-2020,5.14275,5.412,4.963,5.31725,643874640
03-24-2020,5.725,6.3165,5.70125,6.2295,1101643800
03-25-2020,6.345,6.5455,6.0915,6.1405,793430680
03-26-2020,6.3485,6.5555,6.25,6.431,697587680
03-27-2020,6.25,6.5779425,6.217,6.31825,638829760
03-30-2020,6.384,6.649,6.33975,6.63975,602250120
03-31-2020,6.68,6.8849975,6.44375,6.59,949960560
04-01-2020,6.39125,6.53825,6.032,6.07675,656913120
04-02-2020,6.106,6.4,6.05775,6.38675,675764520
04-03-2020,6.349,6.39075,5.95975,6.09775,663213840
04-06-2020,6.381,6.747,6.32325,6.71,727882480
04-07-2020,6.9325,6.95625,6.4325,6.47575,784521880
04-08-2020,6.58525,6.69875,6.515,6.67375,542444520
04-09-2020,6.8,6.823,6.5105,6.57375,526247800
04-13-2020,6.51375,6.755,6.425,6.74625,398407280
04-14-2020,6.875,7.133,6.8472325,7.09875,530946680
04-15-2020,6.93,7.1041775,6.8845,7.021,366148840
04-16-2020,7.177,7.475,7.16375,7.3675,745620400
04-17-2020,7.45,7.4715,7.1735,7.308,539121960
04-20-2020,7.181,7.3375,7.13175,7.17625,449388200
04-21-2020,7.05775,7.11925,6.67775,6.73775,735159840
04-22-2020,6.93075,7.19675,6.885,7.15375,484729120
04-23-2020,7.196,7.3284375,7.075,7.10025,424159520
04-24-2020,7.09,7.24175,7.015,7.23975,352645480
04-27-2020,7.37475,7.5875,7.35,7.427,479387960
04-28-2020,7.575,7.605,7.2785,7.284,442904120
04-29-2020,7.41925,7.5145,7.34375,7.4615,379161880
04-30-2020,7.407315,7.4615,7.293,7.307,375917720
05-01-2020,7.10875,7.2225,7.02108,7.0695,342097800
05-04-2020,7.022,7.296,7.022,7.282125,317555200
05-05-2020,7.38675,7.50675,7.28225,7.3435,368895640
05-06-2020,7.42325,7.55,7.38525,7.44475,323465560
05-07-2020,7.5845,7.68525,7.533075,7.62175,373730520
05-08-2020,7.69375,7.81875,7.65975,7.8125,339907120
05-11-2020,7.8075,8.1125,7.77875,8.0655,469060160
05-12-2020,8.1235,8.1725,7.79275,7.8025,493059280
05-13-2020,7.9175,8.0785,7.59475,7.78,625850080
05-14-2020,7.841625,8.036,7.6875,8.0305,602312360
05-15-2020,7.88975,8.5005,7.874,8.49075,987661720
05-18-2020,8.7605,8.9165,8.6805025,8.75025,776403440
05-19-2020,8.79025,9.0875,8.76275,8.8055,717321960
